,polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,elevation(m),elevation_gains_to_next(m),landmarks_notes,speed_limit(m/s),shoulder,step,routebook_trip(m),MajorTurns/Instructions,lanes,services
79,,40.88762621199539,-98.36129233866693,1764.1211561699076,24.414051974569244,92.73882807207627,92.73882807207627,-87.2611719325648,272.7388280674352,S3°E,0.00018940941725986704,,,542,0.0,,,,,,,,
80,,40.887615706748846,-98.36100298457464,1788.5352081444769,24.41405197396457,92.73901747491831,92.73901747491831,-87.26098252324756,272.73901747675245,S3°E,0.00018940284203949886,,,542,0.0,,,,,,,,
81,,40.88760520077636,-98.36071363057388,1812.9492601184415,24.41405197472833,92.73920687753812,92.73920687753812,-87.26079312050553,272.7392068794945,S3°E,0.00018940261981015283,,,542,0.0,,,,,,,,
82,,40.88759469407797,-98.36042427666465,1837.36331209317,24.414051975137635,92.73939628234663,92.73939628234663,-87.26060371798575,272.73939628201424,S3°E,0.00018940480850915264,,,542,0.0,,,,,,,,
83,,40.88758418665362,-98.36013492284694,1861.7773640683076,24.414051973558134,92.7395856873151,92.7395856873151,-87.26041431327727,272.73958568672276,S3°E,0.00018940496846653332,,,542,0.0,,,,,,,,
84,,40.88757367850335,-98.3598455691208,1886.1914160418658,24.41405197484886,92.73977509188983,92.73977509188983,-87.26022490840884,272.7397750915911,S3°E,0.00018940457472638172,,,542,0.0,,,,,,,,
85,,40.88756316962714,-98.35955621548618,1910.6054680167147,24.414051974283336,92.73996449442406,92.73996449442406,-87.26003550393415,272.73996449606585,S3°E,0.00018940253423238573,,,542,0.0,,,,,,,,
86,,40.88755266002501,-98.35926686194313,1935.019519990998,24.41405197442341,92.7401539012162,92.7401539012162,-87.25984610149999,272.7401538985,S3°E,0.00018940679214551892,,,542,1.0,,,,,,,,
87,18.0,40.887542149696934,-98.35897750849163,1959.4335719654216,24.939106238218216,91.03876154233052,91.03876154233052,-87.2596566948079,272.7403433051921,S1°E,-1.701392358885684,Slight Left,1.701392358885684,543,-1.0,,,,,,,,
88,,40.887538078093655,-98.35868164244266,1984.37267820364,24.93910623763044,91.03895521159072,91.03895521159072,-88.96104479072864,271.03895520927136,S1°E,0.00019366926019870334,,,542,0.0,,,,,,,,
89,,40.8875340057314,-98.35838577642997,2009.3117844412704,24.939106237483273,91.03914887866073,91.03914887866073,-88.96085112150809,271.0391488784919,S1°E,0.00019366707000756378,,,542,0.0,,,,,,,,
90,,40.8875299326102,-98.35808991045356,2034.2508906787536,24.939106238019686,91.03934254139232,91.03934254139232,-88.96065745447773,271.0393425455223,S1°E,0.00019366273158993863,,,542,0.0,,,,,,,,
91,,40.88752585873005,-98.35779404451343,2059.1899969167735,24.93910623791448,91.03953621484779,91.03953621484779,-88.96046379178578,271.0395362082142,S1°E,0.00019367345547038894,,,542,0.0,,,,,,,,
92,,40.88752178409092,-98.35749817860959,2084.129103154688,24.9391062382941,91.0397298775372,91.0397298775372,-88.96027011836996,271.03972988163,S1°E,0.00019366268941212184,,,542,0.0,,,,,,,,
93,,40.88751770869284,-98.35720231274205,2109.068209392982,24.939106238120456,91.03992354451513,91.03992354451513,-88.96007645572023,271.03992354427976,S1°E,0.00019366697793543608,,,542,0.0,,,,,,,,
94,,40.8875136325358,-98.35690644691081,2134.0073156311028,24.939106238519916,91.04011720930048,91.04011720930048,-88.95988278878197,271.04011721121805,S1°E,0.00019366478534266207,,,542,0.0,,,,,,,,
95,,40.887509555619815,-98.35661058111589,2158.9464218696226,24.93910623708518,91.04031087842826,91.04031087842826,-88.95968912403632,271.04031087596366,S1°E,0.0001936691277819591,,,542,0.0,,,,,,,,
96,,40.887505477944856,-98.3563147153573,2183.8855281067076,24.939106238586774,91.04050454526478,91.04050454526478,-88.95949545494823,271.04050454505176,S1°E,0.0001936668365232208,,,542,0.0,,,,,,,,
97,,40.88750139951094,-98.35601884963502,2208.8246343452943,24.939106238254134,91.04069821215242,91.04069821215242,-88.9593017881514,271.0406982118486,S1°E,0.00019366688763966522,,,542,0.0,,,,,,,,
98,,40.88749732031807,-98.35572298394908,2233.7637405835485,24.939106237346166,91.04089187689655,91.04089187689655,-88.95910812130346,271.0408918786965,S1°E,0.0001936647441311834,,,542,0.0,,,,,,,,
99,,40.88749324036625,-98.35542711829949,2258.7028468208946,24.93910623813775,91.04108554583506,91.04108554583506,-88.95891445659905,271.041085543401,S1°E,0.00019366893850758515,,,542,0.0,,,,,,,,
100,,40.88748915965546,-98.35513125268623,2283.6419530590324,24.939106238376034,91.04127921048371,91.04127921048371,-88.95872078770026,271.04127921229974,S1°E,0.00019366464864845057,,,542,0.0,,,,,,,,
101,,40.88748507818572,-98.35483538710933,2308.5810592974085,24.93910623790653,91.04147287513793,91.04147287513793,-88.95852712309134,271.04147287690864,S1°E,0.00019366465421910561,,,542,0.0,,,,,,,,
102,,40.88748099595702,-98.3545395215688,2333.520165535315,24.939106238098475,91.04166654617562,91.04166654617562,-88.95833345847686,271.0416665415231,S1°E,0.00019367103769241112,,,542,0.0,,,,,,,,
103,,40.88747691296936,-98.35424365606463,2358.459271773413,24.93910623756046,91.04186021078323,91.04186021078323,-88.95813978747891,271.0418602125211,S1°E,0.00019366460760750215,,,542,0.0,,,,,,,,
104,,40.88747282922275,-98.35394779059683,2383.3983780109734,24.939106237617683,91.04205387319794,91.04205387319794,-88.95794612291105,271.04205387708896,S1°E,0.0001936624147163002,,,542,0.0,,,,,,,,
105,,40.88746874471718,-98.35365192516542,2408.337484248591,24.93910623831433,91.04224754414287,91.04224754414287,-88.95775246053608,271.0422475394639,S1°E,0.00019367094492395154,,,542,-1.0,,,,,,,,
106,,40.88746465945265,-98.35335605977039,2433.276590486905,24.93910623832518,91.04244121080208,91.04244121080208,-88.95755878963094,271.0424412103691,S1°E,0.00019366665921438653,,,541,0.0,,,,,,,,
107,,40.88746057342917,-98.35306019441175,2458.2156967252304,24.939106237650275,91.04263487317432,91.04263487317432,-88.95736512301148,271.04263487698853,S1°E,0.00019366237224005545,,,541,0.0,,,,,,,,
108,,40.88745648664674,-98.35276432908952,2483.1548029628807,24.93910623761478,91.04282853978755,91.04282853978755,-88.95717146067902,271.04282853932096,S1°E,0.00019366661322806067,,,541,0.0,,,,,,,,
109,,40.88745239910535,-98.3524684638037,2508.0939092004955,24.939106238152437,91.04302220849742,91.04302220849742,-88.95697779410558,271.04302220589443,S1°E,0.00019366870986914364,,,541,0.0,,,,,,,,
110,,40.887448310805006,-98.35217259855429,2533.033015438648,24.939106238092634,91.04321587292038,91.04321587292038,-88.95678412543552,271.04321587456445,S1°E,0.00019366442296586683,,,541,0.0,,,,,,,,
111,,40.8874442217457,-98.3518767333413,2557.9721216767407,24.93910623853971,91.04340953944038,91.04340953944038,-88.95659046105236,271.0434095389476,S1°E,0.00019366651999064288,,,541,0.0,,,,,,,,
112,,40.88744013192745,-98.35158086816473,2582.9112279152805,24.939106237152576,91.0436032038684,91.0436032038684,-88.95639679457216,271.04360320542787,S1°E,0.0001936644280249311,,,541,0.0,,,,,,,,
113,,40.887436041350234,-98.35128500302461,2607.850334152433,24.939106238768062,91.04379687243748,91.04379687243748,-88.95620313018397,271.04379686981605,S1°E,0.00019366856908220598,,,541,0.0,,,,,,,,
