polyline_point_index,latitude,longitude,trip(m),dist_to_next_coordinate(m),true_bearing_to_next,bearing_to_next_360,true_bearing_to_prev,bearing_to_prev_360,general_travel_direction,turn_bearing,turn_type,relative_turn_angle,checkpoint
,43.47143337935682,-80.55610035684103,921.2167132735084,24.89774900809525,64.49924376857234,64.49924376857234,-115.50075623509944,244.4992437649005,N64°E,0.0001910771799913,,,0
,43.47152985847824,-80.55582262969483,946.1144622816038,24.897749006237675,64.49943484343592,64.49943484343592,-115.50056515697216,244.49943484302784,N64°E,0.0001910748635793,,,0
,43.47162633692348,-80.55554490166509,971.0122112878414,24.89774900685432,64.49962591686939,64.49962591686939,-115.50037408116133,244.49962591883863,N64°E,0.00019107343347,,,0
,43.47172281469254,-80.55526717275177,995.9099602946956,24.89774900711524,64.49981699499841,64.49981699499841,-115.5001830067806,244.4998169932194,N64°E,0.0001910781290206,,,0
,43.47181929178542,-80.55498944295489,1020.8077093018107,24.897749006670008,64.50000807088715,64.50000807088715,-115.49999192770429,244.5000080722957,N65°E,0.0001910758887362,,,1
,43.47191576820212,-80.55471171227445,1045.705458308481,24.897749008341947,64.50019914894018,64.50019914894018,-115.49980085086828,244.50019914913173,N65°E,0.0001910780530351,,,1
,43.47201224394264,-80.55443398071046,1070.6032073168228,24.89774900577319,64.50039023062575,64.50039023062575,-115.49960977186798,244.500390228132,N65°E,0.0001910816855712,,,1
,43.47210871900695,-80.5541562482629,1095.500956322596,24.897749008504665,64.50058130857118,64.50058130857118,-115.49941868923516,244.5005813107649,N65°E,0.0001910779454306,,,1
,43.47220519339507,-80.55387851493177,1120.3987053311007,24.8977490069937,64.50077239021236,64.50077239021236,-115.49922761034244,244.5007723896576,N65°E,0.0001910816411765,,,1
,43.47230166710698,-80.55360078071709,1145.2964543380945,24.897749007956108,64.5009634720724,64.5009634720724,-115.499036527754,244.500963472246,N65°E,0.0001910818600379,,,1
,43.47239814014269,-80.55332304561885,1170.1942033460505,24.897749008565302,64.50115455258346,64.50115455258346,-115.49884544494672,244.5011545550533,N65°E,0.0001910805110583,,,1
,43.47249461250221,-80.55304530963706,1195.0919523546158,24.89774900740474,64.50134564068607,64.50134564068607,-115.49865436348838,244.5013456365116,N65°E,0.0001910881026105,,,1
,43.47259108418549,-80.5527675727717,1219.9897013620207,24.89774900695107,64.50153672467519,64.50153672467519,-115.49846327443848,244.5015367255615,N65°E,0.0001910839891223,,,1
,43.47268755519255,-80.5524898350228,1244.8874503689717,24.897749008263265,64.5017278079681,64.5017278079681,-115.49827218950212,244.50172781049787,N65°E,0.0001910832929041,,,1
,43.4727840255234,-80.55221209639032,1269.785199377235,24.89774900709997,64.50191889995655,64.50191889995655,-115.49808110526196,244.50191889473805,N65°E,0.0001910919884551,,,1
,43.47288049517801,-80.5519343568743,1294.6829483843348,24.89774900770429,64.50210998537585,64.50210998537585,-115.49789001232624,244.5021099876737,N65°E,0.0001910854193027,,,1
,43.47297696415639,-80.5516566164747,1319.5806973920392,24.897749005831884,64.50230107101058,64.50230107101058,-115.49769892595968,244.5023010740403,N65°E,0.0001910856347251,,,1
,43.47307343245853,-80.55137887519157,1344.478446397871,24.897749008201284,64.50249216149274,64.50249216149274,-115.49750783937772,244.5024921606223,N65°E,0.0001910904821613,,,1
,43.47316990008444,-80.55110113302487,1369.3761954060724,24.89774900950738,64.50268325373438,64.50268325373438,-115.49731674794828,244.50268325205167,N65°E,0.0001910922416357,,,1
,43.4732663670341,-80.55082338997461,1394.2739444155798,24.8977490065732,64.50287434707857,64.50287434707857,-115.49712565475936,244.50287434524063,N65°E,0.000191093344199,,,1
,43.47336283330751,-80.5505456460408,1419.1716934221529,24.897749007525093,64.50306543529437,64.50306543529437,-115.49693456046796,244.5030654395321,N65°E,0.0001910882158,,,1
,43.47345929890466,-80.55026790122344,1444.069442429678,24.897749007062227,64.50325653207777,64.50325653207777,-115.49674347130488,244.50325652869512,N65°E,0.0001910967833964,,,1
,43.47355576382555,-80.54999015552252,1468.9671914367402,24.897749007658604,64.50344762298016,64.50344762298016,-115.49655237357425,244.50344762642573,N65°E,0.0001910909023905,,,1
,43.47365222807019,-80.54971240893805,1493.8649404443988,24.897749006841146,64.5036387216393,64.5036387216393,-115.4963612817246,244.5036387182754,N65°E,0.000191098659144,,,1
,43.47374869163856,-80.54943466147002,1518.76268945124,24.89774900637532,64.50382981504607,64.50382981504607,-115.4961701821182,244.5038298178818,N65°E,0.0001910934067694,,,1
,43.47384515453064,-80.54915691311845,1543.660438457615,24.897749008382604,64.50402091403424,64.50402091403424,-115.4959790877642,244.5040209122358,N65°E,0.0001910989881679,,,1
,43.47394161674646,-80.54887916388331,1568.558187465998,24.897749006854912,64.50421201217483,64.50421201217483,-115.49578798782876,244.50421201217125,N65°E,0.0001910981405899,,,1
,43.47403807828599,-80.54860141376463,1593.4559364728527,24.89774900780014,64.50440311201129,64.50440311201129,-115.49559688874092,244.50440311125908,N65°E,0.0001910998364564,,,1
,43.47413453914924,-80.54832366276239,1618.3536854806528,24.89774900909784,64.50459420948133,64.50459420948133,-115.49540578795722,244.5045942120428,N65°E,0.0001910974700365,,,1
,43.47423099933621,-80.5480459108766,1643.2514344897506,24.897749006506853,64.50478531117892,64.50478531117892,-115.49521468953996,244.50478531046005,N65°E,0.0001911016975952,,,1
,43.47432745884688,-80.54776815810726,1668.1491834962576,24.89774900780238,64.5049764120738,64.5049764120738,-115.49502358689512,244.50497641310488,N65°E,0.0001911008948809,,,1
,43.47442391768124,-80.54749040445436,1693.04693250406,24.89774900626981,64.50516751853598,64.50516751853598,-115.494832485053,244.505167514947,N65°E,0.0001911064621822,,,1
,43.474520375839305,-80.54721264991792,1717.9446815103297,24.897749006150256,64.50535862188721,64.50535862188721,-115.49464137764356,244.50535862235645,N65°E,0.0001911033512271,,,1
,43.47461683332106,-80.54693489449794,1742.84243051648,24.897749008857524,64.50554972353916,64.50554972353916,-115.4944502733451,244.5055497266549,N65°E,0.00019110165195,,,1
,43.47471329012651,-80.54665713819439,1767.7401795253377,24.8977490069684,64.50574083136087,64.50574083136087,-115.49425917074588,244.5057408292541,N65°E,0.0001911078217062,,,1
,43.47480974625564,-80.5463793810073,1792.6379285323058,24.897749007199053,64.50593193606167,64.50593193606167,-115.49406806197696,244.50593193802305,N65°E,0.0001911047008036,,,1
,43.47490620170845,-80.54610162293666,1817.5356775395048,24.897749007075465,64.50612304630393,64.50612304630393,-115.49387695632892,244.5061230436711,N65°E,0.0001911102422553,,,1
,43.47500265648493,-80.54582386398248,1842.43342654658,24.897749007303297,64.50631415544478,64.50631415544478,-115.49368584513942,244.5063141548605,N65°E,0.0001911091408572,,,1
,43.47509911058509,-80.54554610414473,1867.331175553884,24.89774900788517,64.50650526267482,64.50650526267482,-115.49349473505131,244.50650526494863,N65°E,0.0001911072300373,,,1
,43.47519556400892,-80.54526834342344,1892.2289245617685,24.89774900634472,64.50669637313304,64.50669637313304,-115.49330362687404,244.50669637312595,N65°E,0.0001911104582177,,,1
,43.475292016756406,-80.54499058181862,1917.126673568113,24.897749008692028,64.50688748550162,64.50688748550162,-115.49311251546862,244.5068874845313,N65°E,0.0001911123685829,,,1
,43.47538846882755,-80.54471281933023,1942.024422576805,24.8977490067962,64.50707859239859,64.50707859239859,-115.4929214021528,244.50707859784723,N65°E,0.0001911068969633,,,1
,43.47548492022235,-80.54443505595832,1966.9221715836013,24.89774900631352,64.50726971299305,64.50726971299305,-115.4927302943086,244.50726970569136,N65°E,0.0001911205944651,,,1
,43.4755813709408,-80.54415729170285,1991.8199205899148,24.89774900688963,64.5074608246868,64.5074608246868,-115.49253917276693,244.5074608272331,N65°E,0.000191111693752,,,1
,43.47567782098289,-80.54387952656383,2016.7176695968044,24.897749007465546,64.50765193796992,64.50765193796992,-115.49234806012592,244.50765193987405,N65°E,0.0001911132831224,,,2
,43.475774270348616,-80.54360176054126,2041.61541860427,24.8977490062726,64.5078430570089,64.5078430570089,-115.49215694589556,244.50784305410443,N65°E,0.0001911190389733,,,2
,43.47587071903799,-80.54332399363516,2066.5131676105425,24.89774900861288,64.50803417201202,64.50803417201202,-115.49196582590938,244.50803417409065,N65°E,0.000191115003119,,,2
,43.47596716705099,-80.5430462258455,2091.410916619155,24.897749006358826,64.50822529211642,64.50822529211642,-115.49177470995905,244.50822529004097,N65°E,0.0001911201044038,,,2
,43.47606361438761,-80.5427684571723,2116.308665625514,24.89774900799001,64.50841641220836,64.50841641220836,-115.4915835889074,244.50841641109253,N65°E,0.0001911200919408,,,2
,43.47616006104786,-80.54249068761555,2141.206414633504,24.89774900714717,64.50860752697622,64.50860752697622,-115.49139246786822,244.5086075321317,N65°E,0.0001911147678583,,,2
,43.47625650703173,-80.54221291717528,2166.104163640651,24.897749006657246,64.50879865168935,64.50879865168935,-115.49120135215315,244.50879864784685,N65°E,0.0001911247131261,,,2
,43.47635295233921,-80.54193514585145,2191.0019126473085,24.897749007932543,64.50898977435874,64.50898977435874,-115.4910102264928,244.5089897735072,N65°E,0.000191122669392,,,2
,43.4764493969703,-80.54165737364407,2215.899661655241,24.89774900814704,64.50918089386973,64.50918089386973,-115.4908191028762,244.50918089712383,N65°E,0.0001911195109869,,,2
,43.476545840925,-80.54137960055316,2240.797410663388,24.897749006593536,64.50937201848208,64.50937201848208,-115.49062798241798,244.509372017582,N65°E,0.0001911246123569,,,2
,43.4766422842033,-80.54110182657871,2265.6951596699814,24.897749007866373,64.50956314533406,64.50956314533406,-115.49043685685842,244.5095631431416,N65°E,0.0001911268519734,,,2
,43.4767387268052,-80.5408240517207,2290.592908677848,24.897749005957056,64.50975427133926,64.50975427133926,-115.4902457290592,244.5097542709408,N65°E,0.0001911260052054,,,2
,43.47683516873067,-80.54054627597917,2315.490657683805,24.89774900758124,64.50994539363592,64.50994539363592,-115.4900546021068,244.5099453978932,N65°E,0.0001911222966555,,,2
,43.47693160997975,-80.5402684993541,2340.388406691386,24.897749008498568,64.51013652404546,64.51013652404546,-115.48986347886292,244.5101365211371,N65°E,0.0001911304095472,,,2
,43.47702805055241,-80.53999072184547,2365.2861556998846,24.89774900658616,64.51032765173548,64.51032765173548,-115.48967234750616,244.51032765249383,N65°E,0.0001911276900159,,,2
,43.47712449044865,-80.53971294345332,2390.183904706471,24.897749006440325,64.51051878433469,64.51051878433469,-115.48948121886896,244.51051878113103,N65°E,0.0001911325992125,,,2
,43.477220929668455,-80.53943516417763,2415.0816537129112,24.89774900947467,64.51070991122722,64.51070991122722,-115.48929008532252,244.51070991467748,N65°E,0.0001911268925312,,,2
,43.47731736821184,-80.53915738401838,2439.979402722386,24.89774900755964,64.51090104247498,64.51090104247498,-115.48909895748274,244.51090104251728,N65°E,0.0001911312477602,,,2
